time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
15430;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15450;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15470;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15490;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15530;144.953452;127.795415;-17.158037;43.610508;1.431241;22.855178
15550;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15570;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15600;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15620;143.252340;127.824925;-15.427415;43.610508;1.431241;22.840013
15650;140.835425;127.869263;-12.966162;43.610508;1.431241;22.817276
15680;140.835425;127.869263;-12.966162;43.610508;1.431241;22.817276
15700;140.835425;127.869263;-12.966162;43.610508;1.431241;22.817276
15720;140.835425;127.869263;-12.966162;43.610508;1.431241;22.817276
15740;140.835425;127.869263;-12.966162;43.610508;1.431241;22.817276
15770;138.573842;127.913690;-10.660151;43.610508;1.431242;22.794554
15790;138.573842;127.913690;-10.660151;43.610508;1.431242;22.794554
15810;138.573842;127.913690;-10.660151;43.610508;1.431242;22.794554
15840;138.573842;127.913690;-10.660151;43.610508;1.431242;22.794554
15870;146.728469;127.107026;-19.621444;43.610504;1.431242;22.513425
15890;146.728469;127.107026;-19.621444;43.610504;1.431242;22.513425
15940;147.644116;127.166050;-20.478066;43.610504;1.431242;22.482820
15960;147.644116;127.166050;-20.478066;43.610504;1.431242;22.482820
15980;147.644116;127.166050;-20.478066;43.610504;1.431242;22.482820
16000;147.644116;127.166050;-20.478066;43.610504;1.431242;22.482820
16030;147.644116;127.166050;-20.478066;43.610504;1.431242;22.482820
16050;145.831630;127.195623;-18.636007;43.610504;1.431243;22.467527
16070;145.831630;127.195623;-18.636007;43.610504;1.431243;22.467527
16110;145.831630;127.195623;-18.636007;43.610504;1.431243;22.467527
16130;145.831630;127.195623;-18.636007;43.610504;1.431243;22.467527
16160;147.644116;127.195623;-20.448493;43.610504;1.431243;22.467527
16180;147.644116;127.254889;-20.389227;43.610504;1.431243;22.436958
16200;147.644116;127.254889;-20.389227;43.610504;1.431243;22.436958
16220;147.644116;127.254889;-20.389227;43.610504;1.431243;22.436958
16260;146.728469;127.314317;-19.414153;43.610504;1.431244;22.406414
16280;146.728469;127.314317;-19.414153;43.610504;1.431244;22.406414
16310;146.728469;127.314317;-19.414153;43.610504;1.431244;22.406414
16330;146.728469;127.344091;-19.384378;43.610504;1.431244;22.391150
16350;146.728469;127.344091;-19.384378;43.610504;1.431244;22.391150
16370;146.728469;127.344091;-19.384378;43.610504;1.431244;22.391150
16390;146.728469;127.344091;-19.384378;43.610504;1.431244;22.391150
16440;146.728469;127.344091;-19.384378;43.610504;1.431244;22.391150
16460;147.644116;127.388829;-20.255287;43.610504;1.431244;22.368267
16480;147.644116;127.388829;-20.255287;43.610504;1.431244;22.368267
16500;147.644116;127.388829;-20.255287;43.610504;1.431244;22.368267
16530;147.644116;127.388829;-20.255287;43.610504;1.431244;22.368267
16560;146.728469;127.388829;-19.339640;43.610504;1.431244;22.368267
16580;146.728469;127.448623;-19.279847;43.610504;1.431245;22.337777
16620;146.728469;127.448623;-19.279847;43.610504;1.431245;22.337777
16640;144.953450;127.523594;-17.429856;43.610504;1.431245;22.299698
16660;144.953450;127.523594;-17.429856;43.610504;1.431245;22.299698
16680;144.953450;127.523594;-17.429856;43.610504;1.431245;22.299698
16710;144.953450;127.523594;-17.429856;43.610504;1.431245;22.299698
16730;144.953450;127.523594;-17.429856;43.610504;1.431245;22.299698
16760;140.064687;127.613898;-12.450789;43.610504;1.431246;22.254055
16780;140.064687;127.613898;-12.450789;43.610504;1.431246;22.254055
16810;140.064687;127.613898;-12.450789;43.610504;1.431246;22.254055
16830;135.785911;127.704574;-8.081337;43.610504;1.431247;22.208467
16860;135.785911;127.704574;-8.081337;43.610504;1.431247;22.208467
16880;135.785911;127.704574;-8.081337;43.610504;1.431247;22.208467
16900;135.785911;127.704574;-8.081337;43.610504;1.431247;22.208467
16940;131.474187;127.810833;-3.663354;43.610504;1.431248;22.155352
16970;131.474187;127.810833;-3.663354;43.610504;1.431248;22.155352
16990;131.474187;127.810833;-3.663354;43.610504;1.431248;22.155352
17010;131.474187;127.810833;-3.663354;43.610504;1.431248;22.155352
17040;129.298496;127.810833;-1.487663;43.610504;1.431248;22.155352
17060;129.298496;127.871781;-1.426715;43.610504;1.431248;22.125034
17080;129.298496;127.871781;-1.426715;43.610504;1.431248;22.125034
17110;129.298496;127.871781;-1.426715;43.610504;1.431248;22.125034
17140;89.999998;127.871781;37.871783;43.610504;1.431248;22.125034
17170;89.999998;127.932897;37.932899;43.610504;1.431249;22.094742
17190;89.999998;127.932897;37.932899;43.610504;1.431249;22.094742
17210;89.999998;127.932897;37.932899;43.610504;1.431249;22.094742
17230;89.999998;127.932897;37.932899;43.610504;1.431249;22.094742
17260;89.999998;127.978843;37.978846;43.610504;1.431249;22.072040
17280;89.999998;127.978843;37.978846;43.610504;1.431249;22.072040
17300;89.999998;127.978843;37.978846;43.610504;1.431249;22.072040
17340;89.999998;128.009527;38.009529;43.610504;1.431249;22.056912
17360;89.999998;128.009527;38.009529;43.610504;1.431249;22.056912
17380;89.999998;128.009527;38.009529;43.610504;1.431249;22.056912
17400;89.999998;128.009527;38.009529;43.610504;1.431249;22.056912
17440;89.999998;128.055632;38.055634;43.610504;1.431249;22.034233
17470;89.999998;128.055632;38.055634;43.610504;1.431249;22.034233
17490;89.999998;128.055632;38.055634;43.610504;1.431249;22.034233
17510;89.999998;128.055632;38.055634;43.610504;1.431249;22.034233
17540;89.999998;128.055632;38.055634;43.610504;1.431249;22.034233
17560;89.999998;128.101831;38.101833;43.610504;1.431250;22.011569
17580;89.999998;128.101831;38.101833;43.610504;1.431250;22.011569
17610;89.999998;128.101831;38.101833;43.610504;1.431250;22.011569
17640;89.999998;128.101831;38.101833;43.610504;1.431250;22.011569
17670;89.999998;128.148126;38.148128;43.610504;1.431250;21.988919
17690;89.999998;128.148126;38.148128;43.610504;1.431250;21.988919
17710;89.999998;128.148126;38.148128;43.610504;1.431250;21.988919
17740;89.999998;128.194516;38.194518;43.610504;1.431251;21.966283
17760;89.999998;128.194516;38.194518;43.610504;1.431251;21.966283
17780;89.999998;128.194516;38.194518;43.610504;1.431251;21.966283
17800;89.999998;128.194516;38.194518;43.610504;1.431251;21.966283
17840;89.999998;128.256518;38.256521;43.610504;1.431251;21.936124
17860;89.999998;128.256518;38.256521;43.610504;1.431251;21.936124
17880;89.999998;128.256518;38.256521;43.610504;1.431251;21.936124
17900;89.999998;128.256518;38.256521;43.610504;1.431251;21.936124
17940;89.999998;128.256518;38.256521;43.610504;1.431251;21.936124
17970;89.999998;128.318692;38.318694;43.610504;1.431252;21.905991
17990;89.999998;128.318692;38.318694;43.610504;1.431252;21.905991
18010;89.999998;128.318692;38.318694;43.610504;1.431252;21.905991
18040;89.999998;128.318692;38.318694;43.610504;1.431252;21.905991
18060;89.999998;128.349842;38.349844;43.610504;1.431252;21.890935
18080;89.999998;128.349842;38.349844;43.610504;1.431252;21.890935
18110;89.999998;128.349842;38.349844;43.610504;1.431252;21.890935
18140;89.999998;128.349842;38.349844;43.610504;1.431252;21.890935
18170;89.999998;128.381036;38.381038;43.610504;1.431252;21.875884
18190;89.999998;128.381036;38.381038;43.610504;1.431252;21.875884
18220;89.999998;128.381036;38.381038;43.610504;1.431252;21.875884
18240;89.999998;128.427907;38.427909;43.610504;1.431252;21.853321
18260;89.999998;128.427907;38.427909;43.610504;1.431252;21.853321
18280;89.999998;128.427907;38.427909;43.610504;1.431252;21.853321
18300;89.999998;128.427907;38.427909;43.610504;1.431252;21.853321
18330;89.999998;128.506240;38.506243;43.610504;1.431253;21.815748
18360;89.999998;128.506240;38.506243;43.610504;1.431253;21.815748
18380;89.999998;128.506240;38.506243;43.610504;1.431253;21.815748
18400;89.999998;128.506240;38.506243;43.610504;1.431253;21.815748
18430;89.999998;128.506240;38.506243;43.610504;1.431253;21.815748
18460;89.999998;128.569101;38.569104;43.610504;1.431253;21.785719
18490;89.999998;128.569101;38.569104;43.610504;1.431253;21.785719
18510;89.999998;128.569101;38.569104;43.610504;1.431253;21.785719
